"","RUB/IDR","RUB/IDR","FX","03/19/2021","SELL","1000000000.00000000","194.72","03/19/2021","194.55","8.73%","$117.75"
"","USD/IDR","USD/IDR","FX","03/19/2021","SELL","1500000000.00000000","14,465.0","03/19/2021","14,460.0","3.46%","$5,189.99"
"","USD/JPY","USD/JPY","FX","03/19/2021","SELL","1000000000.00000000","108.98","03/19/2021","108.97","0.92%","$91,779.50"
"","USD/IDR","USD/IDR","FX","03/19/2021","BUY","1500000000.00000000","14,410.0","03/19/2021","14,410.0","-0.00%","-$0.00"
"","USD/JPY","USD/JPY","FX","03/19/2021","BUY","1000000000.00000000","108.84","03/19/2021","108.94","91.88%","$917,799.99"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","SELL","1000000000.00000000","57,859.6","03/19/2021","57,848.9","0.02%","$10,699,999,999.50"
"","BTC/XAU","BTC/XAU","Synthetic","03/19/2021","SELL","1000000000.00000000","33.3754","03/19/2021","33.3295","137.53%","$79,644,302,982.64"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","BUY","1000000000.00000000","57,841.0","03/19/2021","57,856.6","0.03%","$15,599,999,900.00"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/19/2021","BUY","10.00000000","41,639.8","03/19/2021","41,597.3","-0.10%","-$592.68"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","BUY","1.00000000","58,671.2","03/19/2021","57,938.3","-1.25%","-$733.41"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/19/2021","BUY","1000000.00000000","42,533.3","03/19/2021","42,544.2","0.03%","$15,178,186.08"
"","GAU/IDR","GAU/IDR","FX","03/19/2021","SELL","100000000.00000000","802,186.69","03/19/2021","802,175.88","0.13%","$748.99"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/19/2021","BUY","100000000.00000000","42,567.4","03/19/2021","42,497.4","-0.16%","-$9,753,800,000.68"
"","Gold Futures","GCJ1","ICE","03/18/2021","SELL","100000.00000000","1,729.85","03/19/2021","1,729.75","0.01%","$999,998.00"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/18/2021","SELL","100000.00000000","42,618.7","03/18/2021","42,447.4","0.40%","$23,867,228.61"
"","Ethereum","ETH/USD","Investing.com","03/18/2021","SELL","100000.00000000","1,812.95","03/18/2021","1,811.66","0.07%","$128,998.98"
"","BTC/XAU","BTC/XAU","Synthetic","03/18/2021","SELL","100000.00000000","34.4779","03/18/2021","34.2528","65.29%","$38,979,441.26"
"","PHX/BTC","PHX/BTC","Huobi","03/18/2021","SELL","10000000.00000000","0.00000030","03/18/2021","0.00000030","0.00%","$0.00"
"","Bank Central Asia","BBCA.JK","JK","03/18/2021","SELL","100000000.00000000","33,525","03/18/2021","33,525","0.00%","-$0.00"
"","FTSE4Good Global 100",".FT4GDGLOB100","GLOBAL","03/18/2021","BUY","10000.00000000","9,611.23","03/18/2021","9,636.91","0.27%","$256,799.89"
"","BTC/USD","BTC/USD","Bitfinex","03/18/2021","BUY","1000.00000000","58,696.0","03/18/2021","58,926.0","3.92%","$229,988.01"
"","FTSE 100","UK100","LON","03/18/2021","SELL","100000.00000000","6,747.44","03/18/2021","6,747.45","-0.00%","-$1,394.30"
"","Bank Central Asia","BBCA.JK","JK","03/18/2021","BUY","1000000000.00000000","33,525","03/18/2021","33,525","-0.00%","-$0.00"
"","CRUISER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS D","0P0000UCUS","SA","03/18/2021","SELL","1000000.00000000","3.621","03/18/2021","3.621","0.00%","$0.00"
"","CRUISER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS D","0P0000UCUS","SA","03/18/2021","BUY","1000000.00000000","3.621","03/18/2021","3.621","-0.00%","-$0.18"
"","Gold Futures","GCJ1","ICE","03/18/2021","SELL","1000.00000000","1,736.55","03/18/2021","1,736.45","0.01%","$10,000.00"
"","Gold Futures","GCJ1","ICE","03/18/2021","BUY","10000.00000000","1,734.90","03/18/2021","1,735.55","0.04%","$649,999.79"

"Closed P/L","$1,068,875,616,534.88"


